作者,fix总数,fix过的提交种类数,此人进行过的merge总数,此人merge过的库的种类数,commit总数,能力指数,时区,,时区,时区内总和/总贡献度,时区内平均,时区内人数
Eric Sandeen ,1,1,0,0,1,0.465,-600,,,,,
Frank Sorenson ,1,1,0,0,1,0.465,-600,,,,,
Guennadi Liakhovetski ,2,1,0,0,2,0.8289,-600,,,,,
Huy Nguyen ,1,1,0,0,1,0.465,-600,,,,,
Jens Axboe ,91,12,7,7,91,39.9435,-600,,,,,
Jim Wright ,3,1,0,0,3,1.1928,-600,,,,,
John Allen ,1,1,0,0,1,0.465,-600,,,,,
Joseph Greathouse ,4,1,0,0,4,1.5567,-600,,,,,
Joseph Kust ,1,1,0,0,1,0.465,-600,,,,,
Josh Poimboeuf ,1,1,0,0,1,0.465,-600,,,,,
Kai Vehmanen ,10,1,0,0,10,3.7401,-600,,,,,
Keyon Jie ,1,1,0,0,1,0.465,-600,,,,,
Kim Phillips ,8,3,0,0,8,3.2145,-600,,,,,
Larry Finger ,6,1,0,0,6,2.2845,-600,,,,,
Maital Hahn ,1,1,0,0,1,0.465,-600,,,,,
Manish Narani ,1,1,0,0,1,0.465,-600,,,,,
Mans Rullgard ,1,1,0,0,1,0.465,-600,,,,,
Michael Bringmann ,1,1,0,0,1,0.465,-600,,,,,
Mike Christie ,1,1,0,0,1,0.465,-600,,,,,
Min Guo ,5,1,0,0,5,1.9206,-600,,,,,
Olof Johansson ,98,3,112,110,98,124.8921,-600,,,,,
Pan Xiuli ,2,1,0,0,2,0.8289,-600,,,,,
Pierre-Louis Bossart ,43,6,0,0,43,16.2543,-600,,,,,
Prabhath Sajeepa ,1,1,0,0,1,0.465,-600,,,,,
Rander Wang ,3,1,0,0,3,1.1928,-600,,,,,
Rob Herring ,13,3,1,1,13,5.8362,-600,,,,,
Samuel Holland ,13,5,0,0,13,5.2362,-600,,,,,
Saurav Girepunje ,1,1,0,0,1,0.465,-600,,,,,
Shile Zhang ,1,1,0,0,1,0.465,-600,,,,,
Steve French ,11,1,0,0,11,4.104,-600,,,,,
Suman Anna ,3,1,0,0,3,1.1928,-600,,,,,
Suravee Suthikulpanit ,17,3,0,0,17,6.4896,-600,,,,,
Tero Kristo ,1,1,0,0,1,0.465,-600,,,,,
Tianlin Li ,1,1,0,0,1,0.465,-600,,,,,
Tom Lendacky ,3,2,0,0,3,1.2939,-600,,,,,
Tom Zanussi ,28,5,0,0,28,10.6947,-600,,,,,
Tomeu Vizoso ,1,1,0,0,1,0.465,-600,,,,,
Wen Xiong ,1,1,0,0,1,0.465,-600,,,,,
Yong Zhi ,2,1,0,0,2,0.8289,-600,,,,,
abdoulaye berthe ,1,1,0,0,1,0.465,-500,,,,,
Abdul Kabbani ,1,1,0,0,1,0.465,-500,,,,,
Ahzo ,1,1,0,0,1,0.465,-500,,,,,
Al Cooper ,6,1,0,0,6,2.2845,-500,,,,,
Al Viro ,47,6,0,0,47,17.7099,-500,,,,,
Alan Stern ,2,1,0,0,2,0.8289,-500,,,,,
Alex Deucher ,31,2,0,0,31,11.4831,-500,,,,,
Alexandre Ghiti ,2,1,0,0,2,0.8289,-500,,,,,
Alvin Lee ,3,1,0,0,3,1.1928,-500,,,,,
Amanda Liu ,1,1,0,0,1,0.465,-500,,,,,
Anatol Pomazau ,1,1,0,0,1,0.465,-500,,,,,
Andrew F. Davis ,5,2,0,0,5,2.0217,-500,,,,,
Anthony Koo ,2,1,0,0,2,0.8289,-500,,,,,
Aric Cyr ,6,1,0,0,6,2.2845,-500,,,,,
Ben Skeggs ,91,1,0,0,91,33.216,-500,,,,,
Bhawanpreet Lakha ,4,3,0,0,4,1.7589,-500,,,,,
Brandon Maier ,1,1,0,0,1,0.465,-500,,,,,
Brian Masney ,1,1,0,0,1,0.465,-500,,,,,
Charlene Liu ,1,1,0,0,1,0.465,-500,,,,,
Chris Mason ,1,1,0,0,1,0.465,-500,,,,,
Chris Park ,1,1,0,0,1,0.465,-500,,,,,
Chuck Lever ,17,4,0,0,17,6.5907,-500,,,,,
Dai Ngo ,1,1,0,0,1,0.465,-500,,,,,
Daniel Jordan ,2,1,0,0,2,0.8289,-500,,,,,
David Michael ,1,1,0,0,1,0.465,-500,,,,,
Dennis Dalessandro ,1,1,0,0,1,0.465,-500,,,,,
Dillon Brock ,1,1,0,0,1,0.465,-500,,,,,
Edwin Peer ,1,1,0,0,1,0.465,-500,,,,,
Eric Snowberg ,1,1,0,0,1,0.465,-500,,,,,
Eric Yang ,1,1,0,0,1,0.465,-500,,,,,
Felix Kuehling ,2,2,0,0,2,0.93,-500,,,,,
Frank A. Cancio Bello ,3,1,0,0,3,1.1928,-500,,,,,
Gabriel Krisman Bertazi ,3,1,0,0,3,1.1928,-500,,,,,
George Shen ,1,1,0,0,1,0.465,-500,,,,,
Gustavo A. R. Silva ,16,6,0,0,16,6.429,-500,,,,,
Haiyi Zhou ,1,1,0,0,1,0.465,-500,,,,,
Harry Wentland ,2,1,0,0,2,0.8289,-500,,,,,
Hersen Wu ,2,1,0,0,2,0.8289,-500,,,,,
Hewenliang ,1,1,0,0,1,0.465,-500,,,,,
Hillf Danton ,1,1,0,0,1,0.465,-500,,,,,
Isabel Zhang ,2,1,0,0,2,0.8289,-500,,,,,
James Zhu ,16,1,0,0,16,5.9235,-500,,,,,
Janosch Frank ,4,1,0,0,4,1.5567,-500,,,,,
Jason Baron ,1,1,0,0,1,0.465,-500,,,,,
Jeff Layton ,7,1,0,0,7,2.6484,-500,,,,,
Jeff Moyer ,1,1,0,0,1,0.465,-500,,,,,
Jeremy Cline ,1,1,0,0,1,0.465,-500,,,,,
Jerry (Fangzhi) Zuo ,1,1,0,0,1,0.465,-500,,,,,
Jon Maloy ,1,1,0,0,1,0.465,-500,,,,,
Jonathan Kim ,1,1,0,0,1,0.465,-500,,,,,
Josef Bacik ,19,6,0,0,19,7.5207,-500,,,,,
Joseph Gravenor ,1,1,0,0,1,0.465,-500,,,,,
Josip Pavic ,2,1,0,0,2,0.8289,-500,,,,,
Juliet Kim ,1,1,0,0,1,0.465,-500,,,,,
Jun Lei ,1,1,0,0,1,0.465,-500,,,,,
Kaike Wan ,2,2,0,0,2,0.93,-500,,,,,
Krish Sadhukhan ,1,1,0,0,1,0.465,-500,,,,,
Leo Liu ,2,1,0,0,2,0.8289,-500,,,,,
Liming Sun ,1,1,0,0,1,0.465,-500,,,,,
Lyude Paul ,10,3,0,0,10,3.9423,-500,,,,,
Martin Leung ,2,1,0,0,2,0.8289,-500,,,,,
Matt Coffin ,1,1,0,0,1,0.465,-500,,,,,
Matthew Wilcox (Oracle) ,5,1,0,0,5,1.9206,-500,,,,,
Michael Auchter ,1,1,0,0,1,0.465,-500,,,,,
Michael Chan ,12,6,0,0,12,4.9734,-500,,,,,
Michael S. Tsirkin ,1,1,0,0,1,0.465,-500,,,,,
Michael Strauss ,2,1,0,0,2,0.8289,-500,,,,,
Mike Gilbert ,1,1,0,0,1,0.465,-500,,,,,
Mike Marciniszyn ,1,1,0,0,1,0.465,-500,,,,,
Mike Snitzer ,6,3,0,0,6,2.4867,-500,,,,,
Mikita Lipski ,3,1,0,0,3,1.1928,-500,,,,,
Mimi Zohar ,1,1,1,1,1,1.2672,-500,,,,,
Navid Emamdoost ,1,1,0,0,1,0.465,-500,,,,,
Neal Cardwell ,1,1,0,0,1,0.465,-500,,,,,
Nicholas Kazlauskas ,12,1,0,0,12,4.4679,-500,,,,,
Nick Black ,1,1,0,0,1,0.465,-500,,,,,
Nicolas Pitre ,1,1,0,0,1,0.465,-500,,,,,
Nikola Cornij ,1,1,0,0,1,0.465,-500,,,,,
Noah Abradjian ,4,1,0,0,4,1.5567,-500,,,,,
Olga Kornievskaia ,4,2,0,0,4,1.6578,-500,,,,,
Paul Moore ,3,2,0,0,3,1.2939,-500,,,,,
Paul Thomas ,1,1,0,0,1,0.465,-500,,,,,
Pavan Chebbi ,1,1,0,0,1,0.465,-500,,,,,
Peter Xu ,5,2,0,0,5,2.0217,-500,,,,,
Peter Zijlstra (Intel) ,1,1,0,0,1,0.465,-500,,,,,
Pierre Morel ,1,1,0,0,1,0.465,-500,,,,,
Rodrigo Siqueira ,1,1,0,0,1,0.465,-500,,,,,
Roman Li ,2,1,0,0,2,0.8289,-500,,,,,
Sasha Levin ,1,1,0,0,1,0.465,-500,,,,,
Scott Mayhew ,8,2,0,0,8,3.1134,-500,,,,,
Scott Wood ,1,1,0,0,1,0.465,-500,,,,,
Sean Christopherson ,112,19,0,0,112,42.6777,-500,,,,,
Sean Paul ,2,1,0,0,2,0.8289,-500,,,,,
shaoyunl ,1,1,0,0,1,0.465,-500,,,,,
Shijie Luo ,4,1,0,0,4,1.5567,-500,,,,,
Simon Schwartz ,1,1,0,0,1,0.465,-500,,,,,
Stephen Smalley ,2,1,0,0,2,0.8289,-500,,,,,
Stephen Worley ,1,1,0,0,1,0.465,-500,,,,,
Sung Lee ,5,1,0,0,5,1.9206,-500,,,,,
Theodore Ts'o ,8,4,1,1,8,4.1178,-500,,,,,
Tianyu Lan ,1,1,0,0,1,0.465,-500,,,,,
Tom St Denis ,2,1,0,0,2,0.8289,-500,,,,,
Trond Myklebust ,56,7,0,0,56,21.0861,-500,,,,,
Valdis Klētnieks ,1,1,0,0,1,0.465,-500,,,,,
Vasundhara Volam ,12,5,0,0,12,4.8723,-500,,,,,
Vivek Goyal ,2,1,0,0,2,0.8289,-500,,,,,
Waiman Long ,4,2,0,0,4,1.6578,-500,,,,,
Wenjing Liu ,7,1,0,0,7,2.6484,-500,,,,,
Wyatt Wood ,3,1,0,0,3,1.1928,-500,,,,,
Xiubo Li ,16,2,0,0,16,6.0246,-500,,,,,
Yong Zhao ,3,1,0,0,3,1.1928,-500,,,,,
Yongqiang Sun ,4,1,0,0,4,1.5567,-500,,,,,
